t, reading, IMUVal 
14.10000, 389.00000, 28100.00000 
14.15000, 385.00000, 27844.00000 
14.20000, 384.00000, 27732.00000 
14.25000, 382.00000, 28176.00000 
14.30000, 377.00000, 27220.00000 
14.35000, 373.00000, 23326.00000 
14.40000, 372.00000, 21898.00000 
14.45000, 369.00000, 19322.00000 
14.50000, 369.00000, 19076.00000 
14.55000, 369.00000, 20346.00000 
14.60000, 371.00000, 20948.00000 
14.65000, 372.00000, 24108.00000 
14.70000, 363.00000, 23430.00000 
14.75000, 349.00000, 22270.00000 
14.80000, 338.00000, 24404.00000 
14.85000, 333.00000, 25848.00000 
14.90000, 329.00000, 28348.00000 
14.95000, 325.00000, 33238.00000 
15.00000, 324.00000, 34270.00000 
15.05000, 322.00000, 32012.00000 
15.10000, 320.00000, 31376.00000 
15.15000, 320.00000, 25660.00000 
15.20000, 321.00000, 28998.00000 
15.25000, 319.00000, 29508.00000 
15.30000, 317.00000, 29388.00000 
15.35000, 315.00000, 29986.00000 
15.40000, 315.00000, 30532.00000 
15.45000, 313.00000, 28550.00000 
15.50000, 312.00000, 27714.00000 
15.55000, 308.00000, 25150.00000 
15.60000, 306.00000, 23630.00000 
15.65000, 307.00000, 17370.00000 
15.70000, 309.00000, 16778.00000 
15.75000, 312.00000, 19172.00000 
15.80000, 318.00000, 20672.00000 
15.85000, 324.00000, 22752.00000 
15.90000, 308.00000, 25010.00000 
15.95000, 299.00000, 22660.00000 
16.00000, 290.00000, 22860.00000 
16.05000, 287.00000, 24432.00000 
16.10000, 285.00000, 27466.00000 
16.15000, 283.00000, 30952.00000 
16.20000, 281.00000, 33250.00000 
16.25000, 280.00000, 32814.00000 
16.30000, 279.00000, 32868.00000 
16.35000, 282.00000, 27662.00000 
16.40000, 287.00000, 24850.00000 
16.45000, 285.00000, 25934.00000 
16.50000, 285.00000, 26632.00000 
16.55000, 287.00000, 27886.00000 
16.60000, 288.00000, 28916.00000 
16.65000, 287.00000, 28896.00000 
16.70000, 284.00000, 26570.00000 
16.75000, 285.00000, 25222.00000 
16.80000, 287.00000, 21738.00000 
16.85000, 287.00000, 20700.00000 
16.90000, 288.00000, 17452.00000 
16.95000, 294.00000, 17796.00000 
17.00000, 302.00000, 23752.00000 
17.05000, 305.00000, 24146.00000 
17.10000, 284.00000, 21658.00000 
17.15000, 269.00000, 22560.00000 
17.20000, 266.00000, 24228.00000 
17.25000, 266.00000, 24932.00000 
17.30000, 265.00000, 28608.00000 
17.35000, 265.00000, 31662.00000 
17.40000, 265.00000, 31472.00000 
17.45000, 265.00000, 31426.00000 
17.50000, 266.00000, 30338.00000 
17.55000, 269.00000, 29052.00000 
17.60000, 271.00000, 30256.00000 
17.65000, 272.00000, 28694.00000 
17.70000, 271.00000, 27498.00000 
17.75000, 271.00000, 26680.00000 
17.80000, 273.00000, 26688.00000 
17.85000, 272.00000, 25094.00000 
17.90000, 272.00000, 24392.00000 
17.95000, 273.00000, 23926.00000 
18.00000, 273.00000, 21952.00000 
18.05000, 274.00000, 17816.00000 
18.10000, 277.00000, 19012.00000 
18.15000, 283.00000, 19882.00000 
18.20000, 292.00000, 19756.00000 
18.25000, 298.00000, 25438.00000 
18.30000, 282.00000, 25114.00000 
18.35000, 269.00000, 20946.00000 
18.40000, 262.00000, 22306.00000 
18.45000, 260.00000, 26540.00000 
18.50000, 259.00000, 30394.00000 
18.55000, 259.00000, 33020.00000 
18.60000, 259.00000, 33330.00000 
18.65000, 261.00000, 31544.00000 
18.70000, 261.00000, 31734.00000 
18.75000, 264.00000, 28120.00000 
18.80000, 267.00000, 30244.00000 
18.85000, 266.00000, 27410.00000 
18.90000, 267.00000, 26114.00000 
18.95000, 268.00000, 27854.00000 
19.00000, 269.00000, 30038.00000 
19.05000, 269.00000, 29406.00000 
19.10000, 268.00000, 28238.00000 
19.15000, 267.00000, 25968.00000 
19.20000, 268.00000, 25264.00000 
19.25000, 270.00000, 19120.00000 
19.30000, 272.00000, 16906.00000 
19.35000, 274.00000, 20178.00000 
19.40000, 280.00000, 21010.00000 
19.45000, 288.00000, 22166.00000 
19.50000, 290.00000, 24552.00000 
19.55000, 272.00000, 23634.00000 
19.60000, 263.00000, 23794.00000 
19.65000, 260.00000, 24576.00000 
19.70000, 258.00000, 26934.00000 
19.75000, 256.00000, 30318.00000 
19.80000, 256.00000, 34086.00000 
19.85000, 257.00000, 30966.00000 
19.90000, 257.00000, 32562.00000 
19.95000, 259.00000, 30948.00000 
20.00000, 262.00000, 30672.00000 
20.05000, 264.00000, 29362.00000 
20.10000, 265.00000, 27348.00000 
20.15000, 265.00000, 28184.00000 
20.20000, 266.00000, 27490.00000 
20.25000, 268.00000, 27392.00000 
20.30000, 268.00000, 27618.00000 
20.35000, 268.00000, 26254.00000 
20.40000, 269.00000, 24868.00000 
20.45000, 270.00000, 22760.00000 
20.50000, 270.00000, 17968.00000 
20.55000, 273.00000, 16716.00000 
20.60000, 278.00000, 19022.00000 
20.65000, 285.00000, 22224.00000 
20.70000, 288.00000, 22770.00000 
20.75000, 279.00000, 22832.00000 
20.80000, 263.00000, 23960.00000 
20.85000, 258.00000, 24002.00000 
20.90000, 259.00000, 23472.00000 
20.95000, 258.00000, 28234.00000 
21.00000, 257.00000, 31594.00000 
21.05000, 258.00000, 32578.00000 
21.10000, 258.00000, 31218.00000 
21.15000, 258.00000, 31212.00000 
21.20000, 261.00000, 28030.00000 
21.25000, 263.00000, 31596.00000 
21.30000, 263.00000, 29446.00000 
21.35000, 265.00000, 28096.00000 
21.40000, 266.00000, 28596.00000 
21.45000, 267.00000, 28594.00000 
21.50000, 269.00000, 26856.00000 
21.55000, 268.00000, 25628.00000 
21.60000, 267.00000, 25136.00000 
21.65000, 268.00000, 24520.00000 
21.70000, 269.00000, 20188.00000 
21.75000, 272.00000, 16462.00000 
21.80000, 275.00000, 20290.00000 
21.85000, 279.00000, 19174.00000 
21.90000, 288.00000, 21762.00000 
21.95000, 290.00000, 23786.00000 
22.00000, 274.00000, 23348.00000 
22.05000, 263.00000, 24430.00000 
22.10000, 260.00000, 23154.00000 
22.15000, 258.00000, 26124.00000 
22.20000, 257.00000, 29932.00000 
22.25000, 257.00000, 32890.00000 
22.30000, 258.00000, 31144.00000 
22.35000, 258.00000, 31884.00000 
22.40000, 258.00000, 31174.00000 
22.45000, 261.00000, 31290.00000 
22.50000, 262.00000, 29048.00000 
22.55000, 263.00000, 26840.00000 
22.60000, 265.00000, 26236.00000 
22.65000, 267.00000, 28204.00000 
22.70000, 269.00000, 28750.00000 
22.75000, 269.00000, 28598.00000 
22.80000, 267.00000, 25810.00000 
22.85000, 266.00000, 24838.00000 
22.90000, 266.00000, 21220.00000 
22.95000, 267.00000, 18568.00000 
23.00000, 270.00000, 18868.00000 
23.05000, 276.00000, 21720.00000 
23.10000, 287.00000, 22508.00000 
23.15000, 288.00000, 21106.00000 
23.20000, 269.00000, 22330.00000 
23.25000, 261.00000, 23794.00000 
23.30000, 258.00000, 25344.00000 
23.35000, 258.00000, 27482.00000 
23.40000, 258.00000, 29868.00000 
23.45000, 257.00000, 32190.00000 
23.50000, 257.00000, 33486.00000 
23.55000, 258.00000, 32284.00000 
23.60000, 259.00000, 31448.00000 
23.65000, 262.00000, 28016.00000 
23.70000, 264.00000, 25924.00000 
23.75000, 264.00000, 21654.00000 
23.80000, 267.00000, 23934.00000 
