t, reading, IMUVal 
9.40000, 383.00000, 23154.00000 
9.45000, 379.00000, 23162.00000 
9.50000, 375.00000, 23262.00000 
9.55000, 372.00000, 23126.00000 
9.60000, 368.00000, 23172.00000 
9.65000, 365.00000, 23252.00000 
9.70000, 362.00000, 23214.00000 
9.75000, 358.00000, 23220.00000 
9.80000, 355.00000, 23016.00000 
9.85000, 352.00000, 23232.00000 
9.90000, 349.00000, 23192.00000 
9.95000, 346.00000, 23204.00000 
10.00000, 343.00000, 23128.00000 
10.05000, 340.00000, 23212.00000 
10.10000, 338.00000, 23188.00000 
10.15000, 335.00000, 23222.00000 
10.20000, 333.00000, 23118.00000 
10.25000, 330.00000, 23148.00000 
10.30000, 328.00000, 23072.00000 
10.35000, 326.00000, 23168.00000 
10.40000, 323.00000, 22802.00000 
10.45000, 321.00000, 22222.00000 
10.50000, 319.00000, 24220.00000 
10.55000, 317.00000, 23510.00000 
10.60000, 315.00000, 23376.00000 
10.65000, 314.00000, 23200.00000 
10.70000, 312.00000, 23556.00000 
10.75000, 310.00000, 23644.00000 
10.80000, 309.00000, 23462.00000 
10.85000, 307.00000, 22778.00000 
10.90000, 306.00000, 22986.00000 
10.95000, 304.00000, 22702.00000 
11.00000, 303.00000, 22572.00000 
11.05000, 301.00000, 22908.00000 
11.10000, 300.00000, 22914.00000 
11.15000, 299.00000, 22640.00000 
11.20000, 298.00000, 22608.00000 
11.25000, 297.00000, 22322.00000 
11.30000, 296.00000, 22714.00000 
11.35000, 294.00000, 23500.00000 
11.40000, 293.00000, 22076.00000 
11.45000, 292.00000, 22236.00000 
11.50000, 291.00000, 21890.00000 
11.55000, 290.00000, 22542.00000 
11.60000, 289.00000, 22676.00000 
11.65000, 288.00000, 22648.00000 
11.70000, 287.00000, 22336.00000 
11.75000, 286.00000, 21966.00000 
11.80000, 286.00000, 22664.00000 
11.85000, 285.00000, 22188.00000 
11.90000, 284.00000, 22364.00000 
11.95000, 283.00000, 22646.00000 
12.00000, 283.00000, 21954.00000 
12.05000, 282.00000, 22112.00000 
12.10000, 281.00000, 22904.00000 
12.15000, 281.00000, 22506.00000 
12.20000, 280.00000, 22320.00000 
12.25000, 280.00000, 22460.00000 
12.30000, 279.00000, 22436.00000 
12.35000, 279.00000, 22270.00000 
12.40000, 278.00000, 22394.00000 
12.45000, 278.00000, 22496.00000 
12.50000, 277.00000, 22620.00000 
12.55000, 277.00000, 22298.00000 
12.60000, 276.00000, 22180.00000 
12.65000, 276.00000, 22430.00000 
12.70000, 276.00000, 22362.00000 
12.75000, 275.00000, 22552.00000 
12.80000, 275.00000, 22280.00000 
12.85000, 275.00000, 22478.00000 
12.90000, 274.00000, 22464.00000 
12.95000, 274.00000, 22466.00000 
13.00000, 274.00000, 22114.00000 
13.05000, 274.00000, 22444.00000 
13.10000, 273.00000, 22524.00000 
13.15000, 273.00000, 22454.00000 
13.20000, 273.00000, 22432.00000 
13.25000, 273.00000, 22406.00000 
13.30000, 272.00000, 22306.00000 
13.35000, 272.00000, 22418.00000 
13.40000, 272.00000, 22474.00000 
13.45000, 272.00000, 22352.00000 
13.50000, 272.00000, 22410.00000 
13.55000, 272.00000, 22388.00000 
13.60000, 272.00000, 22454.00000 
13.65000, 271.00000, 22364.00000 
13.70000, 271.00000, 22422.00000 
13.75000, 271.00000, 22486.00000 
13.80000, 271.00000, 22458.00000 
13.85000, 271.00000, 22396.00000 
13.90000, 271.00000, 22312.00000 
13.95000, 271.00000, 22434.00000 
14.00000, 271.00000, 22290.00000 
14.05000, 271.00000, 22616.00000 
14.10000, 271.00000, 22394.00000 
14.15000, 271.00000, 22506.00000 
14.20000, 270.00000, 22380.00000 
14.25000, 271.00000, 22542.00000 
14.30000, 270.00000, 22370.00000 
14.35000, 270.00000, 22326.00000 
14.40000, 270.00000, 22476.00000 
14.45000, 270.00000, 22450.00000 
14.50000, 270.00000, 22450.00000 
14.55000, 270.00000, 22418.00000 
14.60000, 270.00000, 22200.00000 
14.65000, 270.00000, 22352.00000 
14.70000, 270.00000, 21978.00000 
14.75000, 270.00000, 22540.00000 
14.80000, 270.00000, 22198.00000 
14.85000, 270.00000, 22006.00000 
14.90000, 270.00000, 21824.00000 
14.95000, 270.00000, 21376.00000 
15.00000, 270.00000, 21288.00000 
15.05000, 271.00000, 20846.00000 
15.10000, 272.00000, 20286.00000 
15.15000, 273.00000, 20064.00000 
15.20000, 275.00000, 20252.00000 
15.25000, 275.00000, 19706.00000 
15.30000, 275.00000, 20210.00000 
15.35000, 275.00000, 21294.00000 
15.40000, 274.00000, 23324.00000 
