t, reading 
514.24000, 278.00000
514.29000, 277.00000
514.34000, 282.00000
514.39000, 284.00000
514.44000, 284.00000
514.49000, 285.00000
514.54000, 282.00000
514.59000, 287.00000
514.64000, 287.00000
514.69000, 285.00000
514.74000, 276.00000
514.79000, 262.00000
514.84000, 264.00000
514.89000, 266.00000
514.94000, 309.00000
514.99000, 299.00000
515.04000, 274.00000
515.09000, 270.00000
515.14000, 271.00000
515.19000, 272.00000
515.24000, 273.00000
515.29000, 289.00000
515.34000, 330.00000
515.39000, 330.00000
515.44000, 295.00000
515.49000, 276.00000
515.54000, 277.00000
515.59000, 332.00000
515.64000, 277.00000
515.69000, 279.00000
515.74000, 280.00000
515.79000, 280.00000
515.84000, 281.00000
515.89000, 293.00000
515.94000, 313.00000
515.99000, 317.00000
516.04000, 322.00000
516.09000, 333.00000
516.14000, 304.00000
516.19000, 308.00000
516.24000, 309.00000
516.29000, 308.00000
516.34000, 308.00000
516.39000, 308.00000
516.44000, 308.00000
516.49000, 308.00000
516.54000, 310.00000
516.59000, 310.00000
516.64000, 308.00000
516.69000, 308.00000
516.74000, 308.00000
516.79000, 307.00000
516.84000, 308.00000
516.89000, 309.00000
516.94000, 309.00000
516.99000, 309.00000
517.04000, 312.00000
517.09000, 334.00000
517.14000, 334.00000
517.19000, 334.00000
517.24000, 281.00000
517.29000, 281.00000
517.34000, 282.00000
517.39000, 283.00000
517.44000, 310.00000
517.49000, 313.00000
517.54000, 313.00000
517.59000, 312.00000
517.64000, 311.00000
517.69000, 311.00000
517.74000, 310.00000
517.79000, 310.00000
517.84000, 310.00000
517.89000, 310.00000
517.94000, 309.00000
517.99000, 309.00000
518.04000, 309.00000
518.09000, 322.00000
518.14000, 335.00000
518.19000, 335.00000
518.24000, 335.00000
518.29000, 336.00000
518.34000, 336.00000
518.39000, 336.00000
518.44000, 335.00000
518.49000, 335.00000
518.54000, 303.00000
518.59000, 291.00000
518.64000, 285.00000
518.69000, 295.00000
518.74000, 281.00000
518.79000, 283.00000
518.84000, 316.00000
518.89000, 313.00000
518.94000, 286.00000
518.99000, 284.00000
519.04000, 285.00000
519.09000, 285.00000
519.14000, 286.00000
519.19000, 286.00000
519.24000, 341.00000
519.29000, 341.00000
519.34000, 341.00000
519.39000, 341.00000
519.44000, 340.00000
519.49000, 340.00000
519.54000, 285.00000
519.59000, 286.00000
519.64000, 287.00000
519.69000, 288.00000
519.74000, 289.00000
519.79000, 289.00000
519.84000, 290.00000
519.89000, 290.00000
519.94000, 291.00000
519.99000, 291.00000
520.04000, 292.00000
520.09000, 293.00000
520.14000, 294.00000
520.19000, 307.00000
520.24000, 348.00000
520.29000, 348.00000
520.34000, 306.00000
520.39000, 307.00000
520.44000, 323.00000
520.49000, 333.00000
520.54000, 338.00000
520.59000, 312.00000
520.64000, 323.00000
520.69000, 317.00000
520.74000, 315.00000
520.79000, 319.00000
520.84000, 317.00000
520.89000, 323.00000
520.94000, 325.00000
520.99000, 312.00000
521.04000, 345.00000
521.09000, 345.00000
521.14000, 319.00000
521.19000, 311.00000
521.24000, 308.00000
521.29000, 312.00000
521.34000, 322.00000
521.39000, 313.00000
521.44000, 304.00000
521.49000, 307.00000
521.54000, 315.00000
521.59000, 313.00000
521.64000, 315.00000
521.69000, 314.00000
521.74000, 317.00000
521.79000, 315.00000
521.84000, 307.00000
521.89000, 329.00000
521.94000, 343.00000
521.99000, 330.00000
522.04000, 306.00000
522.09000, 307.00000
522.14000, 309.00000
522.19000, 318.00000
522.24000, 307.00000
522.29000, 307.00000
522.34000, 313.00000
522.39000, 308.00000
522.44000, 310.00000
522.49000, 315.00000
522.54000, 318.00000
522.59000, 319.00000
522.64000, 315.00000
522.69000, 320.00000
522.74000, 320.00000
522.79000, 327.00000
522.84000, 343.00000
522.89000, 322.00000
522.94000, 311.00000
522.99000, 308.00000
523.04000, 310.00000
523.09000, 320.00000
523.14000, 319.00000
523.19000, 308.00000
523.24000, 310.00000
523.29000, 313.00000
523.34000, 317.00000
523.39000, 314.00000
523.44000, 315.00000
523.49000, 313.00000
523.54000, 315.00000
523.59000, 315.00000
523.64000, 310.00000
523.69000, 321.00000
523.74000, 343.00000
523.79000, 331.00000
523.84000, 316.00000
523.89000, 304.00000
523.94000, 315.00000
523.99000, 320.00000
524.04000, 313.00000
524.09000, 317.00000
524.14000, 313.00000
524.19000, 314.00000
524.24000, 318.00000
524.29000, 311.00000
524.34000, 318.00000
524.39000, 313.00000
524.44000, 313.00000
524.49000, 308.00000
524.54000, 301.00000
524.59000, 314.00000
524.64000, 344.00000
524.69000, 344.00000
524.74000, 315.00000
524.79000, 309.00000
524.84000, 314.00000
524.89000, 315.00000
524.94000, 326.00000
524.99000, 314.00000
525.04000, 307.00000
525.09000, 315.00000
525.14000, 312.00000
525.19000, 317.00000
525.24000, 317.00000
525.29000, 317.00000
525.34000, 304.00000
525.39000, 315.00000
525.44000, 312.00000
525.49000, 317.00000
525.54000, 340.00000
525.59000, 343.00000
525.64000, 324.00000
525.69000, 310.00000
525.74000, 307.00000
525.79000, 310.00000
525.84000, 322.00000
525.89000, 314.00000
525.94000, 312.00000
525.99000, 309.00000
526.04000, 306.00000
526.09000, 315.00000
526.14000, 319.00000
526.19000, 319.00000
526.24000, 317.00000
526.29000, 316.00000
526.34000, 313.00000
526.39000, 310.00000
526.44000, 317.00000
526.49000, 341.00000
526.54000, 341.00000
526.59000, 316.00000
526.64000, 303.00000
526.69000, 312.00000
526.74000, 308.00000
526.79000, 317.00000
526.84000, 307.00000
526.89000, 307.00000
526.94000, 302.00000
526.99000, 312.00000
527.04000, 315.00000
527.09000, 305.00000
527.14000, 307.00000
527.19000, 316.00000
527.24000, 305.00000
527.29000, 300.00000
527.34000, 314.00000
527.39000, 309.00000
527.44000, 338.00000
527.49000, 338.00000
527.54000, 306.00000
527.59000, 305.00000
527.64000, 308.00000
527.69000, 311.00000
527.74000, 317.00000
527.79000, 308.00000
527.84000, 304.00000
527.89000, 307.00000
527.94000, 302.00000
527.99000, 306.00000
528.04000, 310.00000
528.09000, 308.00000
528.14000, 301.00000
528.19000, 307.00000
528.24000, 307.00000
528.29000, 299.00000
528.34000, 303.00000
528.39000, 335.00000
528.44000, 335.00000
528.49000, 307.00000
528.54000, 300.00000
528.59000, 306.00000
528.64000, 304.00000
528.69000, 312.00000
528.74000, 308.00000
528.79000, 305.00000
528.84000, 292.00000
528.89000, 303.00000
528.94000, 313.00000
528.99000, 305.00000
529.04000, 304.00000
529.09000, 303.00000
529.14000, 302.00000
529.19000, 309.00000
529.24000, 298.00000
529.29000, 312.00000
529.34000, 333.00000
529.39000, 315.00000
529.44000, 298.00000
529.49000, 303.00000
529.54000, 305.00000
529.59000, 309.00000
529.64000, 310.00000
529.69000, 299.00000
529.74000, 301.00000
529.79000, 293.00000
529.84000, 306.00000
529.89000, 307.00000
529.94000, 306.00000
529.99000, 301.00000
530.04000, 299.00000
530.09000, 300.00000
530.14000, 306.00000
530.19000, 304.00000
530.24000, 330.00000
530.29000, 331.00000
530.34000, 312.00000
530.39000, 300.00000
530.44000, 304.00000
530.49000, 308.00000
530.54000, 313.00000
530.59000, 308.00000
530.64000, 303.00000
530.69000, 303.00000
530.74000, 296.00000
530.79000, 302.00000
530.84000, 305.00000
530.89000, 300.00000
530.94000, 299.00000
530.99000, 296.00000
531.04000, 298.00000
531.09000, 292.00000
531.14000, 298.00000
531.19000, 329.00000
531.24000, 329.00000
531.29000, 301.00000
531.34000, 296.00000
531.39000, 298.00000
531.44000, 298.00000
531.49000, 308.00000
531.54000, 304.00000
531.59000, 289.00000
531.64000, 290.00000
531.69000, 300.00000
531.74000, 304.00000
531.79000, 300.00000
531.84000, 302.00000
531.89000, 297.00000
531.94000, 292.00000
531.99000, 299.00000
532.04000, 288.00000
532.09000, 295.00000
532.14000, 328.00000
532.19000, 328.00000
532.24000, 313.00000
532.29000, 293.00000
532.34000, 301.00000
532.39000, 300.00000
532.44000, 305.00000
532.49000, 302.00000
532.54000, 295.00000
532.59000, 294.00000
532.64000, 293.00000
532.69000, 295.00000
532.74000, 298.00000
532.79000, 298.00000
532.84000, 289.00000
532.89000, 305.00000
532.94000, 300.00000
532.99000, 307.00000
533.04000, 319.00000
533.09000, 329.00000
533.14000, 323.00000
533.19000, 299.00000
533.24000, 289.00000
533.29000, 302.00000
533.34000, 309.00000
533.39000, 300.00000
533.44000, 296.00000
533.49000, 298.00000
533.54000, 300.00000
533.59000, 302.00000
533.64000, 297.00000
533.69000, 302.00000
