t, reading 
62.38000, 345.00000
62.43000, 343.00000
62.48000, 343.00000
62.53000, 339.00000
62.58000, 338.00000
62.63000, 338.00000
62.68000, 336.00000
62.73000, 330.00000
62.78000, 333.00000
62.83000, 332.00000
62.88000, 329.00000
62.93000, 329.00000
62.98000, 328.00000
63.03000, 326.00000
63.08000, 327.00000
63.13000, 324.00000
63.18000, 324.00000
63.23000, 323.00000
63.28000, 322.00000
63.33000, 322.00000
63.38000, 321.00000
63.43000, 317.00000
63.48000, 316.00000
63.53000, 317.00000
63.58000, 317.00000
63.63000, 316.00000
63.68000, 315.00000
63.73000, 313.00000
63.78000, 314.00000
63.83000, 313.00000
63.88000, 312.00000
63.93000, 311.00000
63.98000, 309.00000
64.03000, 308.00000
64.08000, 309.00000
64.13000, 308.00000
64.18000, 308.00000
64.23000, 306.00000
64.28000, 304.00000
64.33000, 305.00000
64.38000, 305.00000
64.43000, 304.00000
64.48000, 302.00000
64.53000, 300.00000
64.58000, 302.00000
64.63000, 302.00000
64.68000, 301.00000
64.73000, 300.00000
64.78000, 298.00000
64.83000, 297.00000
64.88000, 297.00000
64.93000, 299.00000
64.98000, 296.00000
65.03000, 295.00000
65.08000, 297.00000
65.13000, 296.00000
65.18000, 295.00000
65.23000, 295.00000
65.28000, 295.00000
65.33000, 295.00000
65.38000, 293.00000
65.43000, 294.00000
65.48000, 295.00000
65.53000, 295.00000
65.58000, 282.00000
65.63000, 294.00000
65.68000, 293.00000
65.73000, 291.00000
65.78000, 290.00000
65.83000, 288.00000
65.88000, 291.00000
65.93000, 289.00000
65.98000, 297.00000
66.03000, 288.00000
66.08000, 287.00000
66.13000, 280.00000
66.18000, 278.00000
66.23000, 299.00000
66.28000, 294.00000
66.33000, 288.00000
66.38000, 287.00000
66.43000, 283.00000
66.48000, 271.00000
66.53000, 260.00000
66.58000, 262.00000
66.63000, 263.00000
66.68000, 264.00000
66.73000, 265.00000
66.78000, 267.00000
66.83000, 266.00000
66.88000, 267.00000
66.93000, 321.00000
66.98000, 321.00000
67.03000, 320.00000
67.08000, 319.00000
67.13000, 318.00000
67.18000, 318.00000
67.23000, 264.00000
67.28000, 286.00000
67.33000, 294.00000
67.38000, 267.00000
