t, ir 
42.23000, 242.00000
42.28000, 242.00000
42.33000, 242.00000
42.38000, 242.00000
42.43000, 242.00000
42.48000, 241.00000
42.53000, 243.00000
42.58000, 262.00000
42.63000, 259.00000
42.68000, 239.00000
42.73000, 235.00000
42.78000, 237.00000
42.83000, 240.00000
42.88000, 243.00000
42.93000, 242.00000
42.98000, 238.00000
43.03000, 239.00000
43.08000, 241.00000
43.13000, 242.00000
43.18000, 242.00000
43.23000, 241.00000
43.28000, 243.00000
43.33000, 242.00000
43.38000, 242.00000
43.43000, 242.00000
43.48000, 241.00000
43.53000, 241.00000
43.58000, 241.00000
43.63000, 242.00000
43.68000, 242.00000
43.73000, 243.00000
43.78000, 264.00000
43.83000, 254.00000
43.88000, 237.00000
43.93000, 234.00000
43.98000, 236.00000
44.03000, 241.00000
44.08000, 245.00000
44.13000, 241.00000
44.18000, 239.00000
44.23000, 241.00000
44.28000, 242.00000
44.33000, 242.00000
44.38000, 242.00000
44.43000, 242.00000
44.48000, 242.00000
44.53000, 242.00000
44.58000, 242.00000
44.63000, 241.00000
44.68000, 241.00000
44.73000, 242.00000
44.78000, 242.00000
44.83000, 242.00000
44.88000, 243.00000
44.93000, 251.00000
44.98000, 262.00000
45.03000, 239.00000
45.08000, 236.00000
45.13000, 238.00000
45.18000, 239.00000
45.23000, 242.00000
45.28000, 242.00000
45.33000, 239.00000
45.38000, 238.00000
45.43000, 239.00000
45.48000, 241.00000
45.53000, 242.00000
45.58000, 242.00000
45.63000, 242.00000
45.68000, 242.00000
45.73000, 241.00000
45.78000, 242.00000
45.83000, 241.00000
45.88000, 242.00000
45.93000, 241.00000
45.98000, 242.00000
46.03000, 242.00000
46.08000, 241.00000
46.13000, 241.00000
46.18000, 242.00000
46.23000, 248.00000
46.28000, 263.00000
46.33000, 243.00000
46.38000, 235.00000
46.43000, 238.00000
46.48000, 239.00000
46.53000, 242.00000
46.58000, 243.00000
46.63000, 240.00000
46.68000, 240.00000
46.73000, 240.00000
46.78000, 241.00000
46.83000, 242.00000
46.88000, 242.00000
46.93000, 242.00000
46.98000, 242.00000
47.03000, 242.00000
47.08000, 242.00000
47.13000, 242.00000
47.18000, 242.00000
47.23000, 242.00000
47.28000, 242.00000
47.33000, 242.00000
47.38000, 242.00000
47.43000, 244.00000
47.48000, 260.00000
47.53000, 250.00000
47.58000, 236.00000
47.63000, 236.00000
47.68000, 237.00000
47.73000, 241.00000
47.78000, 244.00000
47.83000, 240.00000
47.88000, 238.00000
47.93000, 240.00000
47.98000, 241.00000
48.03000, 241.00000
48.08000, 242.00000
48.13000, 241.00000
48.18000, 242.00000
48.23000, 242.00000
48.28000, 241.00000
48.33000, 242.00000
48.38000, 242.00000
48.43000, 242.00000
48.48000, 242.00000
48.53000, 241.00000
48.58000, 242.00000
48.63000, 243.00000
48.68000, 264.00000
48.73000, 251.00000
48.78000, 238.00000
48.83000, 238.00000
48.88000, 239.00000
48.93000, 240.00000
48.98000, 243.00000
49.03000, 240.00000
49.08000, 238.00000
49.13000, 239.00000
49.18000, 240.00000
49.23000, 241.00000
49.28000, 241.00000
49.33000, 241.00000
49.38000, 241.00000
49.43000, 241.00000
49.48000, 241.00000
49.53000, 241.00000
49.58000, 241.00000
49.63000, 241.00000
49.68000, 240.00000
49.73000, 241.00000
49.78000, 241.00000
49.83000, 241.00000
49.88000, 241.00000
49.93000, 241.00000
49.98000, 241.00000
50.03000, 250.00000
50.08000, 261.00000
50.13000, 240.00000
50.18000, 235.00000
50.23000, 239.00000
50.28000, 240.00000
50.33000, 242.00000
50.38000, 242.00000
50.43000, 239.00000
50.48000, 238.00000
50.53000, 238.00000
50.58000, 241.00000
50.63000, 241.00000
50.68000, 241.00000
50.73000, 242.00000
50.78000, 241.00000
50.83000, 240.00000
50.88000, 241.00000
50.93000, 241.00000
50.98000, 241.00000
51.03000, 242.00000
51.08000, 242.00000
51.13000, 241.00000
51.18000, 242.00000
51.23000, 247.00000
51.28000, 260.00000
51.33000, 243.00000
51.38000, 234.00000
51.43000, 236.00000
51.48000, 239.00000
51.53000, 242.00000
51.58000, 242.00000
51.63000, 240.00000
51.68000, 240.00000
51.73000, 241.00000
51.78000, 242.00000
51.83000, 242.00000
51.88000, 242.00000
51.93000, 242.00000
51.98000, 242.00000
52.03000, 242.00000
52.08000, 242.00000
52.13000, 242.00000
52.18000, 242.00000
52.23000, 242.00000
52.28000, 242.00000
52.33000, 242.00000
52.38000, 253.00000
52.43000, 255.00000
52.48000, 238.00000
52.53000, 237.00000
52.58000, 239.00000
52.63000, 240.00000
52.68000, 242.00000
52.73000, 242.00000
52.78000, 240.00000
52.83000, 240.00000
52.88000, 240.00000
52.93000, 241.00000
52.98000, 242.00000
53.03000, 242.00000
53.08000, 241.00000
53.13000, 242.00000
53.18000, 241.00000
53.23000, 242.00000
53.28000, 242.00000
53.33000, 242.00000
53.38000, 241.00000
53.43000, 242.00000
53.48000, 242.00000
53.53000, 242.00000
53.58000, 242.00000
53.63000, 252.00000
53.68000, 255.00000
53.73000, 238.00000
53.78000, 236.00000
53.83000, 239.00000
53.88000, 240.00000
53.93000, 243.00000
53.98000, 242.00000
54.03000, 239.00000
54.08000, 240.00000
54.13000, 241.00000
54.18000, 241.00000
54.23000, 242.00000
54.28000, 242.00000
54.33000, 241.00000
54.38000, 241.00000
54.43000, 242.00000
54.48000, 242.00000
54.53000, 242.00000
54.58000, 242.00000
54.63000, 242.00000
54.68000, 242.00000
54.73000, 242.00000
54.78000, 244.00000
54.83000, 258.00000
54.88000, 248.00000
54.93000, 237.00000
54.98000, 237.00000
55.03000, 239.00000
55.08000, 243.00000
55.13000, 244.00000
55.18000, 241.00000
55.23000, 239.00000
55.28000, 241.00000
55.33000, 241.00000
55.38000, 242.00000
55.43000, 242.00000
55.48000, 242.00000
55.53000, 242.00000
55.58000, 242.00000
55.63000, 242.00000
55.68000, 242.00000
55.73000, 242.00000
55.78000, 242.00000
55.83000, 242.00000
55.88000, 241.00000
55.93000, 249.00000
55.98000, 257.00000
56.03000, 240.00000
56.08000, 236.00000
56.13000, 239.00000
56.18000, 239.00000
56.23000, 242.00000
56.28000, 242.00000
56.33000, 239.00000
56.38000, 239.00000
56.43000, 240.00000
56.48000, 241.00000
56.53000, 241.00000
56.58000, 242.00000
56.63000, 241.00000
56.68000, 241.00000
56.73000, 241.00000
56.78000, 241.00000
