t, ir, imu 
39.53000, 396.00000, 21874.00000
39.58000, 390.00000, 21922.00000
39.63000, 388.00000, 21778.00000
39.68000, 378.00000, 21826.00000
39.73000, 377.00000, 21934.00000
39.78000, 377.00000, 21854.00000
39.83000, 354.00000, 21862.00000
39.88000, 369.00000, 21888.00000
39.93000, 358.00000, 21934.00000
39.98000, 362.00000, 21876.00000
40.03000, 356.00000, 21704.00000
40.08000, 355.00000, 21810.00000
40.13000, 343.00000, 21854.00000
40.18000, 348.00000, 21846.00000
40.23000, 344.00000, 21832.00000
40.28000, 340.00000, 21854.00000
40.33000, 339.00000, 21752.00000
40.38000, 327.00000, 21694.00000
40.43000, 333.00000, 21864.00000
40.48000, 330.00000, 21816.00000
40.53000, 329.00000, 21788.00000
40.58000, 324.00000, 21812.00000
40.63000, 321.00000, 21794.00000
40.68000, 319.00000, 21812.00000
40.73000, 316.00000, 21970.00000
40.78000, 316.00000, 21852.00000
40.83000, 298.00000, 21744.00000
40.88000, 307.00000, 21824.00000
40.93000, 308.00000, 21768.00000
40.98000, 303.00000, 21844.00000
41.03000, 302.00000, 21870.00000
41.08000, 298.00000, 21924.00000
41.13000, 300.00000, 21944.00000
41.18000, 296.00000, 21768.00000
41.23000, 302.00000, 21696.00000
41.28000, 299.00000, 21688.00000
41.33000, 296.00000, 21914.00000
41.38000, 293.00000, 21712.00000
41.43000, 294.00000, 21886.00000
41.48000, 290.00000, 21930.00000
41.53000, 290.00000, 21766.00000
41.58000, 289.00000, 21764.00000
41.63000, 287.00000, 21822.00000
41.68000, 281.00000, 21828.00000
41.73000, 285.00000, 21732.00000
41.78000, 284.00000, 21844.00000
41.83000, 280.00000, 21860.00000
41.88000, 279.00000, 21822.00000
41.93000, 277.00000, 21908.00000
41.98000, 274.00000, 21708.00000
42.03000, 266.00000, 21936.00000
42.08000, 274.00000, 21744.00000
42.13000, 274.00000, 21722.00000
42.18000, 271.00000, 21882.00000
42.23000, 269.00000, 21794.00000
42.28000, 269.00000, 21822.00000
42.33000, 270.00000, 21774.00000
42.38000, 266.00000, 21690.00000
42.43000, 265.00000, 21894.00000
42.48000, 264.00000, 21906.00000
42.53000, 261.00000, 21744.00000
42.58000, 263.00000, 21794.00000
42.63000, 261.00000, 21880.00000
42.68000, 241.00000, 21708.00000
42.73000, 262.00000, 21880.00000
42.78000, 250.00000, 21802.00000
42.83000, 258.00000, 21488.00000
42.88000, 257.00000, 22540.00000
42.93000, 260.00000, 20462.00000
42.98000, 260.00000, 22020.00000
43.03000, 257.00000, 21460.00000
43.08000, 255.00000, 21970.00000
43.13000, 256.00000, 21716.00000
43.18000, 249.00000, 25022.00000
43.23000, 253.00000, 22300.00000
43.28000, 248.00000, 23868.00000
43.33000, 243.00000, 23002.00000
43.38000, 250.00000, 22130.00000
43.43000, 248.00000, 21830.00000
43.48000, 239.00000, 20906.00000
43.53000, 251.00000, 20236.00000
43.58000, 247.00000, 20686.00000
43.63000, 248.00000, 26636.00000
43.68000, 249.00000, 22748.00000
43.73000, 244.00000, 21334.00000
43.78000, 245.00000, 22026.00000
43.83000, 242.00000, 22066.00000
43.88000, 247.00000, 20934.00000
43.93000, 247.00000, 20730.00000
43.98000, 246.00000, 26588.00000
44.03000, 245.00000, 21830.00000
44.08000, 241.00000, 20632.00000
