t, ir, imu 
0.55000, 162.00000, 21668.00000
305.60000, 170.00000, 21744.00000
305.65000, 172.00000, 21830.00000
305.70000, 179.00000, 21716.00000
305.75000, 177.00000, 21826.00000
305.80000, 181.00000, 21670.00000
305.85000, 184.00000, 21690.00000
305.90000, 185.00000, 21754.00000
305.95000, 188.00000, 21690.00000
306.00000, 185.00000, 21728.00000
306.05000, 191.00000, 21886.00000
306.10000, 193.00000, 21696.00000
306.15000, 195.00000, 21784.00000
306.20000, 193.00000, 21762.00000
306.25000, 196.00000, 21808.00000
306.30000, 199.00000, 21812.00000
306.35000, 200.00000, 21746.00000
306.40000, 202.00000, 21836.00000
306.45000, 202.00000, 21802.00000
306.50000, 202.00000, 22146.00000
306.55000, 207.00000, 22216.00000
306.60000, 188.00000, 21582.00000
306.65000, 203.00000, 21666.00000
306.70000, 195.00000, 21804.00000
306.75000, 208.00000, 21784.00000
306.80000, 207.00000, 21786.00000
306.85000, 208.00000, 21778.00000
306.90000, 210.00000, 21736.00000
306.95000, 210.00000, 21730.00000
307.00000, 201.00000, 21730.00000
307.05000, 211.00000, 21494.00000
307.10000, 213.00000, 21504.00000
307.15000, 215.00000, 21872.00000
307.20000, 214.00000, 21614.00000
307.25000, 211.00000, 22960.00000
307.30000, 215.00000, 31930.00000
307.35000, 218.00000, 29680.00000
307.40000, 215.00000, 24648.00000
307.45000, 216.00000, 19392.00000
307.50000, 220.00000, 14370.00000
307.55000, 221.00000, 13430.00000
307.60000, 222.00000, 12460.00000
307.65000, 216.00000, 15412.00000
307.70000, 223.00000, 26098.00000
307.75000, 224.00000, 30730.00000
307.80000, 223.00000, 32738.00000
307.85000, 225.00000, 28454.00000
307.90000, 226.00000, 22590.00000
307.95000, 204.00000, 21028.00000
308.00000, 221.00000, 17044.00000
308.05000, 223.00000, 15880.00000
308.10000, 222.00000, 13694.00000
308.15000, 222.00000, 17198.00000
308.20000, 224.00000, 20978.00000
308.25000, 224.00000, 27472.00000
308.30000, 221.00000, 31190.00000
308.35000, 223.00000, 29606.00000
308.40000, 220.00000, 26414.00000
308.45000, 221.00000, 22706.00000
308.50000, 221.00000, 19320.00000
308.55000, 219.00000, 16852.00000
308.60000, 220.00000, 15466.00000
308.65000, 218.00000, 12938.00000
308.70000, 219.00000, 15782.00000
308.75000, 220.00000, 21044.00000
308.80000, 219.00000, 24568.00000
308.85000, 218.00000, 29732.00000
308.90000, 221.00000, 31964.00000
308.95000, 220.00000, 29072.00000
309.00000, 200.00000, 26962.00000
309.05000, 221.00000, 19848.00000
309.10000, 221.00000, 18640.00000
309.15000, 220.00000, 18134.00000
309.20000, 209.00000, 14104.00000
309.25000, 219.00000, 13180.00000
309.30000, 218.00000, 18000.00000
309.35000, 221.00000, 23050.00000
309.40000, 217.00000, 26226.00000
309.45000, 201.00000, 29886.00000
