t, ir, imu 
352.84000, 220.00000, 21752.00000
352.89000, 218.00000, 21844.00000
352.94000, 220.00000, 21726.00000
352.99000, 219.00000, 21750.00000
353.04000, 223.00000, 21798.00000
353.09000, 223.00000, 21844.00000
353.14000, 223.00000, 21882.00000
353.19000, 215.00000, 21690.00000
353.24000, 225.00000, 21740.00000
353.29000, 226.00000, 21730.00000
353.34000, 226.00000, 21786.00000
353.39000, 227.00000, 21864.00000
353.44000, 227.00000, 21770.00000
353.49000, 228.00000, 21796.00000
353.54000, 228.00000, 21744.00000
353.59000, 229.00000, 21768.00000
353.64000, 230.00000, 21834.00000
353.69000, 230.00000, 21738.00000
353.74000, 230.00000, 21790.00000
353.79000, 232.00000, 21774.00000
353.84000, 231.00000, 21786.00000
353.89000, 229.00000, 21734.00000
353.94000, 228.00000, 21704.00000
353.99000, 234.00000, 21846.00000
354.04000, 233.00000, 21844.00000
354.09000, 234.00000, 21682.00000
354.14000, 232.00000, 21802.00000
354.19000, 234.00000, 21818.00000
354.24000, 235.00000, 21886.00000
354.29000, 233.00000, 21822.00000
354.34000, 233.00000, 21910.00000
354.39000, 233.00000, 21712.00000
354.44000, 235.00000, 21796.00000
354.49000, 234.00000, 21774.00000
354.54000, 232.00000, 21826.00000
354.59000, 215.00000, 21808.00000
354.64000, 235.00000, 21818.00000
354.69000, 236.00000, 21742.00000
354.74000, 235.00000, 21730.00000
354.79000, 232.00000, 21780.00000
354.84000, 237.00000, 21774.00000
354.89000, 236.00000, 21760.00000
354.94000, 236.00000, 21792.00000
354.99000, 236.00000, 21798.00000
355.04000, 236.00000, 21760.00000
355.09000, 237.00000, 21726.00000
355.14000, 238.00000, 21878.00000
355.19000, 236.00000, 21762.00000
355.24000, 238.00000, 21714.00000
355.29000, 236.00000, 21778.00000
355.34000, 238.00000, 21670.00000
355.39000, 238.00000, 21776.00000
355.44000, 222.00000, 21766.00000
355.49000, 235.00000, 21786.00000
355.54000, 232.00000, 21794.00000
355.59000, 237.00000, 21720.00000
355.64000, 238.00000, 21824.00000
355.69000, 238.00000, 21898.00000
355.74000, 238.00000, 21708.00000
355.79000, 215.00000, 21782.00000
355.84000, 234.00000, 21690.00000
355.89000, 238.00000, 21696.00000
355.94000, 237.00000, 21752.00000
355.99000, 235.00000, 21758.00000
356.04000, 238.00000, 21742.00000
356.09000, 232.00000, 21758.00000
356.14000, 236.00000, 21768.00000
356.19000, 236.00000, 21788.00000
356.24000, 236.00000, 21790.00000
356.29000, 238.00000, 21764.00000
356.34000, 220.00000, 21846.00000
356.39000, 234.00000, 21750.00000
356.44000, 238.00000, 21762.00000
356.49000, 237.00000, 21822.00000
356.54000, 213.00000, 21780.00000
356.59000, 238.00000, 21724.00000
356.64000, 238.00000, 21714.00000
356.69000, 236.00000, 21792.00000
356.74000, 212.00000, 21706.00000
356.79000, 234.00000, 21762.00000
356.84000, 236.00000, 21846.00000
356.89000, 234.00000, 21792.00000
356.94000, 225.00000, 21822.00000
356.99000, 237.00000, 21724.00000
357.04000, 217.00000, 21790.00000
357.09000, 238.00000, 21694.00000
357.14000, 221.00000, 21828.00000
357.19000, 237.00000, 21814.00000
357.24000, 219.00000, 21770.00000
357.29000, 236.00000, 21778.00000
357.34000, 216.00000, 21720.00000
357.39000, 231.00000, 21828.00000
357.44000, 237.00000, 21810.00000
357.49000, 219.00000, 21690.00000
357.54000, 218.00000, 21758.00000
357.59000, 238.00000, 21728.00000
357.64000, 237.00000, 21794.00000
357.69000, 233.00000, 21766.00000
357.74000, 208.00000, 21800.00000
357.79000, 237.00000, 21792.00000
357.84000, 236.00000, 21756.00000
