t, ir, imu 
2288.35000, 207.00000, 22354.00000
2288.40000, 205.00000, 22434.00000
2288.45000, 206.00000, 22380.00000
2288.50000, 192.00000, 22338.00000
2288.55000, 209.00000, 22462.00000
2288.60000, 210.00000, 22364.00000
2288.65000, 194.00000, 22368.00000
2288.70000, 212.00000, 22396.00000
2288.75000, 211.00000, 22416.00000
2288.80000, 214.00000, 22442.00000
2288.85000, 213.00000, 22412.00000
2288.90000, 214.00000, 22320.00000
2288.95000, 213.00000, 22440.00000
2289.00000, 197.00000, 22378.00000
2289.05000, 215.00000, 22454.00000
2289.10000, 218.00000, 22372.00000
2289.15000, 218.00000, 22348.00000
2289.20000, 219.00000, 22404.00000
2289.25000, 217.00000, 22330.00000
2289.30000, 220.00000, 22352.00000
2289.35000, 220.00000, 22426.00000
2289.40000, 220.00000, 22386.00000
2289.45000, 213.00000, 22300.00000
2289.50000, 219.00000, 22364.00000
2289.55000, 221.00000, 22244.00000
2289.60000, 222.00000, 22338.00000
2289.65000, 222.00000, 22372.00000
2289.70000, 220.00000, 22410.00000
2289.75000, 206.00000, 22328.00000
2289.80000, 217.00000, 22272.00000
2289.85000, 221.00000, 22478.00000
2289.90000, 212.00000, 22238.00000
2289.95000, 224.00000, 22106.00000
2290.00000, 222.00000, 22492.00000
2290.05000, 222.00000, 22316.00000
2290.10000, 206.00000, 21922.00000
2290.15000, 223.00000, 22350.00000
2290.20000, 222.00000, 22492.00000
2290.25000, 224.00000, 22066.00000
2290.30000, 221.00000, 21786.00000
2290.35000, 220.00000, 22848.00000
2290.40000, 223.00000, 22428.00000
2290.45000, 221.00000, 22052.00000
2290.50000, 217.00000, 22842.00000
2290.55000, 226.00000, 22154.00000
2290.60000, 222.00000, 22298.00000
2290.65000, 224.00000, 22500.00000
2290.70000, 224.00000, 22356.00000
2290.75000, 226.00000, 22312.00000
2290.80000, 225.00000, 22610.00000
2290.85000, 226.00000, 22372.00000
2290.90000, 227.00000, 22336.00000
2290.95000, 226.00000, 22654.00000
2291.00000, 225.00000, 21208.00000
2291.05000, 225.00000, 22944.00000
2291.10000, 215.00000, 22258.00000
2291.15000, 226.00000, 22916.00000
2291.20000, 227.00000, 21796.00000
2291.25000, 225.00000, 22586.00000
2291.30000, 200.00000, 22580.00000
2291.35000, 226.00000, 22076.00000
2291.40000, 211.00000, 22512.00000
2291.45000, 213.00000, 22388.00000
2291.50000, 202.00000, 22254.00000
2291.55000, 227.00000, 22444.00000
2291.60000, 220.00000, 22316.00000
2291.65000, 221.00000, 22384.00000
2291.70000, 218.00000, 22350.00000
2291.75000, 223.00000, 22372.00000
2291.80000, 226.00000, 22386.00000
2291.85000, 227.00000, 22382.00000
2291.90000, 210.00000, 22428.00000
2291.95000, 227.00000, 22426.00000
2292.00000, 226.00000, 22360.00000
2292.05000, 224.00000, 22310.00000
2292.10000, 205.00000, 22414.00000
2292.15000, 222.00000, 22500.00000
2292.20000, 225.00000, 22302.00000
2292.25000, 223.00000, 22596.00000
2292.30000, 207.00000, 22246.00000
2292.35000, 227.00000, 22118.00000
2292.40000, 227.00000, 23318.00000
2292.45000, 226.00000, 23478.00000
2292.50000, 210.00000, 21772.00000
2292.55000, 220.00000, 22842.00000
2292.60000, 227.00000, 22520.00000
2292.65000, 227.00000, 22222.00000
2292.70000, 209.00000, 21324.00000
2292.75000, 228.00000, 19954.00000
2292.80000, 225.00000, 21522.00000
2292.85000, 227.00000, 23966.00000
2292.90000, 202.00000, 21904.00000
2292.95000, 226.00000, 22402.00000
2293.00000, 226.00000, 22534.00000
2293.05000, 227.00000, 22618.00000
2293.10000, 205.00000, 22386.00000
2293.15000, 228.00000, 22454.00000
2293.20000, 221.00000, 22316.00000
2293.25000, 226.00000, 22394.00000
2293.30000, 222.00000, 22480.00000
2293.35000, 226.00000, 22332.00000
2293.40000, 228.00000, 22264.00000
2293.45000, 225.00000, 22490.00000
2293.50000, 209.00000, 22340.00000
2293.55000, 227.00000, 22498.00000
2293.60000, 226.00000, 21970.00000
2293.65000, 225.00000, 22808.00000
2293.70000, 228.00000, 22764.00000
2293.75000, 229.00000, 22304.00000
2293.80000, 226.00000, 22400.00000
2293.85000, 226.00000, 22214.00000
2293.90000, 222.00000, 22528.00000
2293.95000, 224.00000, 22610.00000
2294.00000, 228.00000, 22598.00000
2294.05000, 228.00000, 22500.00000
2294.10000, 227.00000, 22522.00000
2294.15000, 225.00000, 22486.00000
2294.20000, 225.00000, 22374.00000
2294.25000, 228.00000, 22580.00000
2294.30000, 227.00000, 22140.00000
2294.35000, 226.00000, 22358.00000
2294.40000, 227.00000, 22436.00000
2294.45000, 229.00000, 22944.00000
2294.50000, 225.00000, 22714.00000
2294.55000, 224.00000, 22434.00000
2294.60000, 224.00000, 22606.00000
2294.65000, 229.00000, 22552.00000
2294.70000, 228.00000, 22488.00000
2294.75000, 227.00000, 22540.00000
2294.80000, 228.00000, 22586.00000
2294.85000, 225.00000, 22168.00000
2294.90000, 228.00000, 22402.00000
2294.95000, 228.00000, 22370.00000
2295.00000, 227.00000, 21652.00000
2295.05000, 228.00000, 21442.00000
2295.10000, 229.00000, 22490.00000
2295.15000, 224.00000, 21842.00000
2295.20000, 228.00000, 22966.00000
2295.25000, 218.00000, 22300.00000
2295.30000, 230.00000, 22116.00000
2295.35000, 230.00000, 22468.00000
2295.40000, 230.00000, 22614.00000
2295.45000, 227.00000, 22132.00000
2295.50000, 228.00000, 22382.00000
2295.55000, 230.00000, 22420.00000
2295.60000, 228.00000, 22210.00000
2295.65000, 220.00000, 22614.00000
2295.70000, 229.00000, 22528.00000
2295.75000, 219.00000, 23356.00000
2295.80000, 229.00000, 24134.00000
2295.85000, 227.00000, 22960.00000
2295.90000, 216.00000, 21434.00000
2295.95000, 230.00000, 22674.00000
2296.00000, 228.00000, 22454.00000
2296.05000, 223.00000, 22244.00000
2296.10000, 231.00000, 22426.00000
2296.15000, 228.00000, 22462.00000
2296.20000, 231.00000, 22398.00000
2296.25000, 231.00000, 22428.00000
2296.30000, 231.00000, 22436.00000
2296.35000, 232.00000, 22330.00000
2296.40000, 233.00000, 22246.00000
2296.45000, 235.00000, 22468.00000
2296.50000, 237.00000, 21924.00000
2296.55000, 239.00000, 21686.00000
2296.60000, 238.00000, 26076.00000
2296.65000, 232.00000, 26512.00000
2296.70000, 242.00000, 21612.00000
2296.75000, 244.00000, 25060.00000
2296.80000, 243.00000, 27090.00000
2296.85000, 240.00000, 24792.00000
2296.90000, 242.00000, 27238.00000
2296.95000, 243.00000, 24468.00000
2297.00000, 241.00000, 22434.00000
2297.05000, 242.00000, 20330.00000
2297.10000, 238.00000, 18586.00000
2297.15000, 234.00000, 13372.00000
2297.20000, 236.00000, 16004.00000
2297.25000, 244.00000, 25680.00000
2297.30000, 244.00000, -32424.00000
2297.35000, 243.00000, -31222.00000
2297.40000, 242.00000, 28876.00000
2297.45000, 242.00000, 23214.00000
2297.50000, 245.00000, 19546.00000
2297.55000, 243.00000, 14864.00000
2297.60000, 243.00000, 12484.00000
2297.65000, 243.00000, 9962.00000
2297.70000, 242.00000, 15876.00000
2297.75000, 237.00000, 28242.00000
2297.80000, 240.00000, -29350.00000
2297.85000, 240.00000, -30972.00000
2297.90000, 239.00000, 31364.00000
2297.95000, 240.00000, 26588.00000
2298.00000, 239.00000, 23688.00000
2298.05000, 235.00000, 19590.00000
2298.10000, 237.00000, 15934.00000
2298.15000, 237.00000, 14712.00000
2298.20000, 239.00000, 13012.00000
2298.25000, 238.00000, 11404.00000
2298.30000, 238.00000, 16124.00000
2298.35000, 240.00000, 26340.00000
2298.40000, 241.00000, 22308.00000
2298.45000, 224.00000, 32450.00000
2298.50000, 241.00000, -27816.00000
2298.55000, 243.00000, 30684.00000
2298.60000, 242.00000, 23342.00000
2298.65000, 241.00000, 21480.00000
2298.70000, 225.00000, 20102.00000
2298.75000, 244.00000, 17340.00000
2298.80000, 242.00000, 11666.00000
2298.85000, 236.00000, 12976.00000
2298.90000, 244.00000, 15512.00000
2298.95000, 245.00000, 16296.00000
2299.00000, 244.00000, 31402.00000
2299.05000, 244.00000, -30060.00000
2299.10000, 245.00000, -30138.00000
2299.15000, 244.00000, -32746.00000
2299.20000, 239.00000, 26524.00000
2299.25000, 247.00000, 22480.00000
2299.30000, 247.00000, 19674.00000
2299.35000, 248.00000, 17820.00000
2299.40000, 245.00000, 19042.00000
2299.45000, 247.00000, 18762.00000
2299.50000, 251.00000, 21762.00000
2299.55000, 248.00000, 24414.00000
2299.60000, 249.00000, 23650.00000
2299.65000, 249.00000, 23632.00000
2299.70000, 250.00000, 24532.00000
2299.75000, 236.00000, 24232.00000
2299.80000, 250.00000, 22548.00000
2299.85000, 250.00000, 23274.00000
2299.90000, 251.00000, 22732.00000
2299.95000, 250.00000, 22624.00000
2300.00000, 248.00000, 22314.00000
2300.05000, 252.00000, 22850.00000
2300.10000, 249.00000, 22330.00000
2300.15000, 250.00000, 20474.00000
2300.20000, 251.00000, 19330.00000
2300.25000, 250.00000, 22168.00000
2300.30000, 251.00000, 23316.00000
2300.35000, 252.00000, 24850.00000
2300.40000, 251.00000, 24562.00000
2300.45000, 239.00000, 24550.00000
2300.50000, 252.00000, 24008.00000
2300.55000, 245.00000, 25260.00000
2300.60000, 249.00000, 22966.00000
2300.65000, 252.00000, 21568.00000
2300.70000, 253.00000, 10460.00000
2300.75000, 252.00000, 16194.00000
2300.80000, 252.00000, 26472.00000
2300.85000, 252.00000, 29780.00000
2300.90000, 249.00000, 26838.00000
2300.95000, 250.00000, 24880.00000
2301.00000, 247.00000, 22640.00000
2301.05000, 252.00000, 22468.00000
2301.10000, 250.00000, 24422.00000
2301.15000, 245.00000, 28718.00000
2301.20000, 252.00000, 27532.00000
2301.25000, 242.00000, 23476.00000
2301.30000, 255.00000, 21748.00000
2301.35000, 256.00000, 23302.00000
2301.40000, 253.00000, 22026.00000
2301.45000, 254.00000, 20440.00000
2301.50000, 254.00000, 20446.00000
2301.55000, 253.00000, 17028.00000
2301.60000, 247.00000, 14524.00000
2301.65000, 249.00000, 15862.00000
2301.70000, 249.00000, 15384.00000
2301.75000, 248.00000, 25156.00000
2301.80000, 246.00000, 30198.00000
2301.85000, 245.00000, -28210.00000
2301.90000, 244.00000, -31244.00000
2301.95000, 242.00000, 26592.00000
2302.00000, 237.00000, 21710.00000
2302.05000, 241.00000, 17458.00000
2302.10000, 232.00000, 16350.00000
2302.15000, 241.00000, 9202.00000
2302.20000, 235.00000, 11718.00000
2302.25000, 242.00000, 20754.00000
2302.30000, 243.00000, -26640.00000
2302.35000, 243.00000, -25122.00000
2302.40000, 244.00000, -32336.00000
2302.45000, 244.00000, 29194.00000
2302.50000, 246.00000, 25996.00000
2302.55000, 246.00000, 23222.00000
2302.60000, 240.00000, 19642.00000
2302.65000, 245.00000, 17360.00000
2302.70000, 243.00000, 14220.00000
2302.75000, 241.00000, 11068.00000
2302.80000, 251.00000, 17004.00000
2302.85000, 248.00000, 6776.00000
2302.90000, 249.00000, 28510.00000
2302.95000, 251.00000, -26882.00000
2303.00000, 251.00000, -29932.00000
2303.05000, 244.00000, 27302.00000
2303.10000, 251.00000, 24924.00000
2303.15000, 249.00000, 22768.00000
2303.20000, 249.00000, 20906.00000
2303.25000, 250.00000, 20642.00000
2303.30000, 250.00000, 16600.00000
2303.35000, 237.00000, 12668.00000
2303.40000, 249.00000, 15912.00000
2303.45000, 251.00000, 19628.00000
2303.50000, 251.00000, 26350.00000
2303.55000, 250.00000, 25686.00000
2303.60000, 251.00000, -32010.00000
2303.65000, 251.00000, -30154.00000
2303.70000, 252.00000, 28630.00000
2303.75000, 253.00000, 24216.00000
2303.80000, 253.00000, 22214.00000
2303.85000, 254.00000, 18030.00000
2303.90000, 251.00000, 17844.00000
2303.95000, 253.00000, 13352.00000
2304.00000, 238.00000, 14278.00000
2304.05000, 258.00000, 21282.00000
2304.10000, 260.00000, 18222.00000
2304.15000, 260.00000, 26902.00000
2304.20000, 260.00000, -31452.00000
2304.25000, 258.00000, -31844.00000
2304.30000, 261.00000, 27664.00000
2304.35000, 251.00000, 25916.00000
2304.40000, 263.00000, 23992.00000
2304.45000, 263.00000, 21278.00000
2304.50000, 261.00000, 17976.00000
2304.55000, 258.00000, 16324.00000
2304.60000, 260.00000, 12088.00000
2304.65000, 267.00000, 18448.00000
2304.70000, 266.00000, 16538.00000
2304.75000, 259.00000, 29798.00000
2304.80000, 253.00000, -27088.00000
2304.85000, 250.00000, -30392.00000
2304.90000, 250.00000, 29692.00000
2304.95000, 249.00000, 24938.00000
2305.00000, 231.00000, 23842.00000
2305.05000, 250.00000, 22108.00000
2305.10000, 248.00000, 20316.00000
2305.15000, 246.00000, 16578.00000
2305.20000, 246.00000, 12912.00000
2305.25000, 240.00000, 15830.00000
2305.30000, 247.00000, 18666.00000
2305.35000, 249.00000, 28056.00000
2305.40000, 249.00000, 28216.00000
